date,year,player_a,player_b,surface,predicted_prob_a,market_prob_b365,clv_b365,market_prob_bf,clv_bf,bet365_true_prob_a,clv_bet365,betfair_true_prob_a,clv_betfair,odds_a,odds_b,odds_a_b365,odds_b_b365,odds_a_bf,odds_b_bf,pinnacle_true_prob_a,clv_pinnacle,max_true_prob_a,clv_max,actual_winner
2026-03-04,2026,Rinky Hijikata,Luciano Darderi,Hard,0.38151368,0.3436754176610979,0.03783826233890214,0.31868131868131866,0.06283236131868136,0.3436754176610979,0.03783826233890214,0.31868131868131866,0.06283236131868136,2.75,1.44,2.75,1.44,3.1,1.45,,,0.32885906040268453,0.05265461959731549,1
2026-03-04,2026,Roberto Bautista Agut,Fabian Marozsan,Hard,0.26810652,0.25595238095238093,0.012154139047619084,0.2481203007518797,0.0199862192481203,0.25595238095238093,0.012154139047619084,0.2481203007518797,0.0199862192481203,3.75,1.29,3.75,1.29,4.0,1.32,,,0.21357615894039736,0.054530361059602656,1
2026-03-04,2026,Roberto Bautista Agut,Jack Draper,Hard,0.12608656,0.15848527349228608,-0.032398713492286096,0.1457286432160804,-0.019642083216080408,0.15848527349228608,-0.032398713492286096,0.1457286432160804,-0.019642083216080408,6.0,1.13,6.0,1.13,6.8,1.16,,,0.15311653116531165,-0.027029971165311667,0
2026-03-04,2026,Sebastian Korda,Francisco Comesana,Hard,0.77928954,0.8283132530120482,-0.04902371301204822,0.8344923504867873,-0.055202810486787324,0.8283132530120482,-0.04902371301204822,0.8344923504867873,-0.055202810486787324,1.14,5.5,1.14,5.5,1.19,6.0,,,0.8233532934131738,-0.04406375341317381,1
2026-03-04,2026,Sho Shimabukuro,Alexander Shevchenko,Hard,0.514683,0.586734693877551,-0.07205169387755095,0.5770171149144254,-0.06233411491442542,0.586734693877551,-0.07205169387755095,0.5770171149144254,-0.06233411491442542,1.62,2.3,1.62,2.3,1.73,2.36,,,0.5793450881612091,-0.06466208816120911,0
2026-03-04,2026,Stefanos Tsitsipas,Denis Shapovalov,Hard,0.557122,0.5483028720626633,0.008819127937336746,0.5784313725490196,-0.021309372549019545,0.5483028720626633,0.008819127937336746,0.5784313725490196,-0.021309372549019545,1.73,2.1,1.73,2.1,1.72,2.36,,,0.5440414507772021,0.013080549222797888,0
2026-03-04,2026,Tommy Paul,Zizou Bergs,Hard,0.7363813,0.7894736842105263,-0.05309238421052631,0.78125,-0.044868699999999984,0.7894736842105263,-0.05309238421052631,0.78125,-0.044868699999999984,1.2,4.5,1.2,4.5,1.26,4.5,,,0.7839721254355401,-0.04759082543554005,1
2026-03-04,2026,Tristan Schoolkate,Dino Prizmic,Hard,0.4497967,0.25595238095238093,0.19384431904761906,0.2543021032504781,0.1954945967495219,0.25595238095238093,0.19384431904761906,0.2543021032504781,0.1954945967495219,3.75,1.29,3.75,1.29,3.9,1.33,,,0.2618110236220473,0.18798567637795272,0
2026-03-04,2026,Vit Kopriva,Michael Zheng,Hard,0.44896066,0.4516971279373368,-0.002736467937336784,0.45864661654135336,-0.009685956541353347,0.4516971279373368,-0.002736467937336784,0.45864661654135336,-0.009685956541353347,2.1,1.73,2.1,1.73,2.16,1.83,,,0.4534005037783375,-0.004439843778337504,1
2026-03-18,2026,Adam Walton,Jakub Mensik,Hard,0.1600506,0.27083333333333337,-0.11078273333333338,0.25961538461538464,-0.09956478461538465,0.27083333333333337,-0.11078273333333338,0.25961538461538464,-0.09956478461538465,3.5,1.3,3.5,1.3,3.85,1.35,,,0.2618110236220473,-0.10176042362204729,0
