date,year,prediction_row_id,tourney_id,tourney_name,tourney_date,round,event_id,surface,player_a_name,player_b_name,predicted_prob_a,rank_diff,market_prob_a,clv_bet365,date_distance_days,matched_date_distance,odds_a,odds_b,actual_result,source_bookmaker,odds_source_confidence,shuffled_predicted_prob_a,shuffled_clv_bet365,random_market_centered_prob_a,random_market_centered_clv_bet365
2025-01-06,2025,25,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13299121,Hard,Geoffrey Blancaneaux,Daniel Michalski,0.610385,126,0.6880733944954129,-0.07768839449541298,0,0,1.36,3.0,0,bet365_via_sofascore,latest_pre_match_assumed,0.47323537,-0.21483802449541295,0.6921048971934215,0.00403150269800856
2025-01-06,2025,26,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13303001,Hard,Yu Hsiou Hsu,Kokoro Isomura,0.6096722,205,0.6626506024096386,-0.05297840240963858,1,1,1.4,2.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.85235935,0.18970874759036138,0.6632201527518675,0.0005695503422289416
2025-01-06,2025,27,2025-2795,Nonthaburi 2 CH,2025-01-06,R16,13293756,Hard,Yu Hsiou Hsu,Maximus Jones,0.7340487,520,0.7096069868995633,0.024441713100436746,2,2,1.33,3.25,0,bet365_via_sofascore,latest_pre_match_assumed,0.61964977,-0.08995721689956326,0.6591965259731132,-0.050410460926450074
2025-01-06,2025,28,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13299118,Hard,Remy Bertola,Murphy Cassone,0.36127806,51,0.4109947643979057,-0.04971670439790571,0,0,2.25,1.5699999999999998,0,bet365_via_sofascore,latest_pre_match_assumed,0.76645434,0.3554595756020943,0.4184554035123314,0.007460639114425682
2025-01-06,2025,29,2025-2795,Nonthaburi 2 CH,2025-01-06,F,13293769,Hard,Jie Cui,Rio Noguchi,0.48334974,-46,0.4240837696335078,0.05926597036649223,5,5,2.2,1.62,0,bet365_via_sofascore,latest_pre_match_assumed,0.7198494,0.29576563036649217,0.4622754789630104,0.03819170932950261
2025-01-06,2025,30,2025-2795,Nonthaburi 2 CH,2025-01-06,QF,13293765,Hard,Jie Cui,Daniel Michalski,0.53279734,57,0.5890052356020943,-0.05620789560209427,3,3,1.5699999999999998,2.25,1,bet365_via_sofascore,latest_pre_match_assumed,0.5542551,-0.03475013560209428,0.5729954845077886,-0.01600975109430569
2025-01-06,2025,31,2025-2795,Nonthaburi 2 CH,2025-01-06,R16,13293759,Hard,Jie Cui,Francesco Maestrelli,0.3562557,-107,0.4429708222811671,-0.08671512228116707,2,2,2.1,1.67,1,bet365_via_sofascore,latest_pre_match_assumed,0.72196496,0.2789941377188329,0.3390628791358202,-0.10390794314534685
2025-01-06,2025,32,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13299116,Hard,Rio Noguchi,Thanapet Chanta,0.7341649,369,0.75,-0.01583509999999999,0,0,1.25,3.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.7961954,0.0461954,0.8167159822880774,0.0667159822880774
2025-01-06,2025,33,2025-2795,Nonthaburi 2 CH,2025-01-06,SF,13293767,Hard,Rio Noguchi,Murphy Cassone,0.32979393,32,0.2903930131004367,0.03940091689956332,4,4,3.25,1.33,1,bet365_via_sofascore,latest_pre_match_assumed,0.5278161,0.23742308689956332,0.27879853591613163,-0.011594477184305063
2025-01-06,2025,34,2025-2795,Nonthaburi 2 CH,2025-01-06,QF,13293763,Hard,Rio Noguchi,Maximus Jones,0.6845845,472,0.6086956521739131,0.07588884782608696,3,3,1.53,2.38,1,bet365_via_sofascore,latest_pre_match_assumed,0.76845497,0.15975931782608688,0.5951225172766977,-0.013573134897215344
2025-01-06,2025,35,2025-2795,Nonthaburi 2 CH,2025-01-06,Q2,13301135,Hard,Hikaru Shiraishi,Neil Oberleitner,0.369842,-150,0.4112149532710279,-0.04137295327102791,0,0,2.25,1.5714285714285714,1,bet365_via_sofascore,latest_pre_match_assumed,0.52042496,0.10921000672897213,0.3263422279115036,-0.08487272535952434
2025-01-06,2025,36,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299091,Hard,Neil Oberleitner,Yuttana Charoenphon,0.90710515,1044,0.865979381443299,0.041125768556701026,1,1,1.0833333333333333,7.0,1,bet365_via_sofascore,latest_pre_match_assumed,0.28204796,-0.583931421443299,0.9800289416896475,0.11404956024634849
2025-01-06,2025,37,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299099,Hard,Jakub Paul,Keisuke Saitoh,0.7680647,190,0.75,0.018064700000000045,1,1,1.25,3.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.38367525,-0.36632475,0.8069967970395553,0.05699679703955529
2025-01-06,2025,38,2025-2795,Nonthaburi 2 CH,2025-01-06,QF,13293762,Hard,Jakub Paul,Murphy Cassone,0.4185628,-76,0.391304347826087,0.02725845217391304,3,3,2.38,1.53,0,bet365_via_sofascore,latest_pre_match_assumed,0.4777484,0.08644405217391304,0.2931328659751503,-0.09817148185093666
2025-01-06,2025,39,2025-2795,Nonthaburi 2 CH,2025-01-06,Q2,13301453,Hard,Jakub Paul,Pawit Sornlaksup,0.82296467,490,0.75,0.07296466999999995,0,0,1.25,3.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.39534742,-0.35465258,0.7725473951191398,0.022547395119139835
2025-01-06,2025,40,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299093,Hard,Stefanos Sakellaridis,Ryotaro Taguchi,0.45462137,78,0.4112149532710279,0.04340641672897211,1,1,2.25,1.5714285714285714,0,bet365_via_sofascore,latest_pre_match_assumed,0.52032286,0.10910790672897214,0.44169047174764997,0.030475518476622054
2025-01-06,2025,41,2025-2795,Nonthaburi 2 CH,2025-01-06,R16,13293754,Hard,Murphy Cassone,Andre Ilagan,0.61722547,54,0.625,-0.007774529999999946,2,2,1.5,2.5,1,bet365_via_sofascore,latest_pre_match_assumed,0.5269978,-0.09800220000000004,0.6079471660030493,-0.017052833996950678
2025-01-06,2025,42,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299097,Hard,Natthayut Nithithananont,Kokoro Isomura,0.1052882,-1676,0.088937093275488,0.016351106724511996,1,1,10.5,1.025,0,bet365_via_sofascore,latest_pre_match_assumed,0.6321363,0.5431992067245119,0.13666704094312118,0.04772994766763318
2025-01-06,2025,43,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299092,Hard,Karan Singh,Pawit Sornlaksup,0.69268924,427,0.5887850467289719,0.10390419327102807,1,1,1.5714285714285714,2.25,0,bet365_via_sofascore,latest_pre_match_assumed,0.5653276,-0.023457446728971876,0.4516581283245688,-0.1371269184044031
2025-01-06,2025,44,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299879,Hard,Ricardas Berankis,Evgeny Karlovskiy,0.70528847,113,0.6626506024096386,0.04263786759036137,1,1,1.4,2.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.7013174,0.0386667975903614,0.6282931587293267,-0.034357443680311905
2025-01-06,2025,45,2025-2831,Oeiras 1 CH,2025-01-06,R32,13304343,Hard,Ricardas Berankis,Zsombor Piros,0.38331333,-64,0.5,-0.11668666999999999,1,1,1.83,1.83,0,bet365_via_sofascore,latest_pre_match_assumed,0.6460281,0.1460281,0.5413320955596834,0.041332095559683424
