date,year,prediction_row_id,tourney_id,tourney_name,tourney_date,round,event_id,surface,player_a_name,player_b_name,predicted_prob_a,rank_diff,market_prob_a,clv_bet365,date_distance_days,matched_date_distance,odds_a,odds_b,actual_result,source_bookmaker,odds_source_confidence,shuffled_predicted_prob_a,shuffled_clv_bet365,random_market_centered_prob_a,random_market_centered_clv_bet365,calibrated_prob_a,calibrated_clv
2025-01-06,2025,26,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13303001,Hard,Yu Hsiou Hsu,Kokoro Isomura,0.6096722,205,0.6626506024096386,-0.0529784024096385,1,1,1.4,2.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.85235935,0.1897087475903613,0.6632201527518675,0.0005695503422289,0.5962732919254657,-0.06637731048417284
2025-01-06,2025,27,2025-2795,Nonthaburi 2 CH,2025-01-06,R16,13293756,Hard,Yu Hsiou Hsu,Maximus Jones,0.7340487,520,0.7096069868995633,0.0244417131004367,2,2,1.33,3.25,0,bet365_via_sofascore,latest_pre_match_assumed,0.61964977,-0.0899572168995632,0.6591965259731132,-0.05041046092645,0.7251908396946565,0.015583852795093223
2025-01-06,2025,28,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13299118,Hard,Remy Bertola,Murphy Cassone,0.36127806,51,0.4109947643979057,-0.0497167043979057,0,0,2.25,1.5699999999999998,0,bet365_via_sofascore,latest_pre_match_assumed,0.76645434,0.3554595756020943,0.4184554035123314,0.0074606391144256,0.3168498168498168,-0.09414494754808894
2025-01-06,2025,29,2025-2795,Nonthaburi 2 CH,2025-01-06,F,13293769,Hard,Jie Cui,Rio Noguchi,0.48334974,-46,0.4240837696335078,0.0592659703664922,5,5,2.2,1.62,0,bet365_via_sofascore,latest_pre_match_assumed,0.7198494,0.2957656303664921,0.4622754789630104,0.0381917093295026,0.45195729537366547,0.027873525740157667
2025-01-06,2025,30,2025-2795,Nonthaburi 2 CH,2025-01-06,QF,13293765,Hard,Jie Cui,Daniel Michalski,0.53279734,57,0.5890052356020943,-0.0562078956020942,3,3,1.5699999999999998,2.25,1,bet365_via_sofascore,latest_pre_match_assumed,0.5542551,-0.0347501356020942,0.5729954845077886,-0.0160097510943056,0.5005945303210465,-0.08841070528104777
2025-01-06,2025,31,2025-2795,Nonthaburi 2 CH,2025-01-06,R16,13293759,Hard,Jie Cui,Francesco Maestrelli,0.3562557,-107,0.4429708222811671,-0.086715122281167,2,2,2.1,1.67,1,bet365_via_sofascore,latest_pre_match_assumed,0.72196496,0.2789941377188329,0.3390628791358202,-0.1039079431453468,0.3168498168498168,-0.1261210054313503
2025-01-06,2025,32,2025-2795,Nonthaburi 2 CH,2025-01-06,R32,13299116,Hard,Rio Noguchi,Thanapet Chanta,0.7341649,369,0.75,-0.0158350999999999,0,0,1.25,3.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.7961954,0.0461954,0.8167159822880774,0.0667159822880774,0.7251908396946565,-0.024809160305343525
2025-01-06,2025,33,2025-2795,Nonthaburi 2 CH,2025-01-06,SF,13293767,Hard,Rio Noguchi,Murphy Cassone,0.32979393,32,0.2903930131004367,0.0394009168995633,4,4,3.25,1.33,1,bet365_via_sofascore,latest_pre_match_assumed,0.5278161,0.2374230868995633,0.2787985359161316,-0.011594477184305,0.3168498168498168,0.026456803749380087
2025-01-06,2025,34,2025-2795,Nonthaburi 2 CH,2025-01-06,QF,13293763,Hard,Rio Noguchi,Maximus Jones,0.6845845,472,0.6086956521739131,0.0758888478260869,3,3,1.53,2.38,1,bet365_via_sofascore,latest_pre_match_assumed,0.76845497,0.1597593178260868,0.5951225172766977,-0.0135731348972153,0.676923076923077,0.06822742474916388
2025-01-06,2025,35,2025-2795,Nonthaburi 2 CH,2025-01-06,Q2,13301135,Hard,Hikaru Shiraishi,Neil Oberleitner,0.369842,-150,0.4112149532710279,-0.0413729532710279,0,0,2.25,1.5714285714285714,1,bet365_via_sofascore,latest_pre_match_assumed,0.52042496,0.1092100067289721,0.3263422279115036,-0.0848727253595243,0.3788659793814433,-0.03234897388958463
