date,tour,player_a,player_b,surface,edge,edge_tier,stake_eur,odds,result,pnl_eur,bankroll_after
2025-10-27,Challenger,Sebastian Gima,Dakotah Bobo,Clay,0.0489,Small,2.08,1.08,1,0.17,209.05
2025-11-03,Challenger,Nicolas Kicker,Sebastian Gima,Clay,0.0377,Small,2.09,1.36,1,0.76,209.81
2025-11-10,Challenger,David Jorda Sanchis,Ignacio Carou,Clay,0.0399,Small,2.09,1.07,1,0.15,210.79
2025-11-10,Challenger,Tomas Barrios Vera,Juan Carlos Prado Angelo,Clay,0.038,Small,2.09,1.4,1,0.84,210.79
2025-11-17,Challenger,Elmer Moller,Tiago Pereira,Clay,0.0337,Small,2.1,1.33,1,0.69,212.89
2025-11-17,Challenger,Alvaro Guillen Meza,Emilio Camacho,Clay,0.0432,Small,2.1,1.06,1,0.13,212.89
2025-11-17,Challenger,Andrea Collarini,Maximo Zeitune,Clay,0.0368,Small,2.1,1.17,1,0.36,212.89
2025-11-17,Challenger,Pedro Sakamoto,Orlando Luz,Clay,0.0426,Small,2.1,1.44,1,0.92,212.89
2026-01-12,Challenger,Tomas Farjat,Ezequiel Monferrer,Clay,0.0437,Small,2.12,1.44,0,-2.12,210.77
2026-01-27,Challenger,Dusan Lajovic,Facundo Mena,Clay,0.0426,Small,2.1,1.44,1,0.92,213.29
2026-01-27,Challenger,Facundo Mena,Joaquin  Aguilar Cardozo ,Clay,0.0336,Small,2.1,1.4,1,0.84,213.29
2026-01-27,Challenger,Tomas Barrios Vera,Gonzalo Bueno,Clay,0.0371,Small,2.1,1.36,1,0.76,213.29
2026-03-02,Challenger,Carlos Sanchez Jover,Breno Braga,Clay,0.0393,Small,2.13,1.01,1,0.02,213.31
2026-03-09,Challenger,Thiago Monteiro,Gianluca Cadenasso ,Clay,0.0336,Small,2.13,1.4,1,0.85,214.17
2026-03-09,Challenger,Guido Ivan Justo,Anders Matta,Clay,0.0371,Small,2.13,1.0,1,0.0,214.17
