date,player_a,player_b,surface,predicted_prob_a,betfair_true_prob_a,clv_betfair,pinnacle_true_prob_a,clv_pinnacle,max_true_prob_a,clv_max,actual_winner
2026-02-23,Patrick Kypson,Brandon Nakashima,Hard,0.26987928,0.3454545454545454,-0.0755752654545454,,,0.32885906040268453,-0.058979780402684534,0
2026-02-23,Pedro Martinez,Francisco Comesana,Clay,0.39865562,0.37089201877934275,0.02776360122065724,,,0.3589743589743589,0.03968126102564107,0
2026-02-23,Quentin Halys,Jack Draper,Hard,0.16179249,0.27710843373493976,-0.11531594373493975,,,0.25650557620817843,-0.09471308620817842,0
2026-02-23,Rinky Hijikata,Mattia Bellucci,Hard,0.46940017,0.5239294710327457,-0.05452930103274567,,,0.5235602094240838,-0.05416003942408376,0
2026-02-23,Stan Wawrinka,Benjamin Hassan,Hard,0.6384105,0.8505154639175257,-0.21210496391752576,,,0.8463541666666666,-0.20794366666666664,1
2026-02-23,Stan Wawrinka,Daniil Medvedev,Hard,0.15053146,0.16550764951321278,-0.014976189513212779,,,0.16666666666666663,-0.016135206666666624,0
2026-02-23,Stefanos Tsitsipas,Ugo Humbert,Hard,0.4414475,0.47368421052631576,-0.03223671052631577,,,0.4780361757105944,-0.03658867571059443,0
2026-02-23,Tallon Griekspoor,Jakub Mensik,Hard,0.33744982,0.3008474576271186,0.03660236237288139,,,0.2980561555075594,0.03939366449244064,1
2026-02-23,Tallon Griekspoor,Otto Virtanen,Hard,0.6920037,0.5819070904645476,0.11009660953545242,,,0.5778894472361809,0.11411425276381915,1
2026-02-23,Terence Atmane,Rafael Jodar,Hard,0.5405652,0.3103448275862069,0.23022037241379306,,,0.32432432432432434,0.21624087567567563,1
2026-02-23,Valentin Vacherot,Coleman Wong,Hard,0.7132252,0.6636771300448431,0.049548069955156926,,,0.6588235294117647,0.05440167058823531,1
2026-02-23,Vilius Gaubas,Dino Prizmic,Clay,0.5368548,0.29313929313929316,0.2437155068607068,,,0.30131004366812225,0.2355447563318777,1
2026-02-23,Yannick Hanfmann,Camilo Ugo Carabelli,Clay,0.573987,0.6190476190476191,-0.045060619047619044,,,0.6,-0.026012999999999953,1
2026-02-23,Yibing Wu,Sho Shimabukuro,Hard,0.526737,0.7243460764587526,-0.19760907645875259,,,0.7246376811594202,-0.19790068115942017,1
2026-02-23,Zizou Bergs,Jenson Brooksby,Hard,0.47763085,0.49246231155778897,-0.014831461557788972,,,0.4922680412371133,-0.014637191237113323,0
2026-03-04,Adam Walton,Learner Tien,Hard,0.2550122,0.16784203102961914,0.08717016897038088,,,0.17541229385307344,0.07959990614692658,0
2026-03-04,Adrian Mannarino,Matteo Berrettini,Hard,0.3659846,0.33035714285714285,0.035627457142857144,,,0.33487297921478054,0.03111162078521945,0
2026-03-04,Alejandro Davidovich Fokina,Zachary Svajda,Hard,0.802295,0.5888077858880778,0.21348721411192217,,,0.6029776674937966,0.19931733250620343,1
2026-03-04,Alejandro Tabilo,Rafael Jodar,Hard,0.6365859,0.40920096852300236,0.22738493147699768,,,0.41518987341772146,0.22139602658227858,1
2026-03-04,Alex De Minaur,Sebastian Korda,Hard,0.7123105,0.6091127098321343,0.10319779016786568,,,0.6291866028708134,0.08312389712918655,1
2026-03-04,Alexander Zverev,Matteo Berrettini,Hard,0.7496122,0.7798960138648179,-0.030283813864817932,,,0.7839721254355401,-0.03435992543554012,1
2026-03-04,Alexei Popyrin,Jenson Brooksby,Hard,0.47781447,0.4405940594059406,0.037220410594059394,,,0.4346733668341708,0.0431411031658292,0
2026-03-04,Andrey Rublev,Gabriel Diallo,Hard,0.63863903,0.7352941176470589,-0.09665508764705888,,,0.7216494845360824,-0.08301045453608236,0
2026-03-04,Benjamin Bonzi,Francisco Cerundolo,Hard,0.33301786,0.2842535787321063,0.04876428126789367,,,0.3037974683544304,0.02922039164556961,0
