date,player_a_id,player_b_id,player_a_name,player_b_name,surface,elo_diff,surface_elo_diff,rank_diff,points_diff,recent_form_diff,recent_surface_form_diff,win_pct_diff,matches_played_diff,result
2020-01-06,111575,126203,Karen Khachanov,Taylor Fritz,Hard,15.742010799515583,15.742010799515583,14,525,0.16666666666666663,0.16666666666666663,0.16666666666666663,1,1
2020-01-06,126203,111575,Taylor Fritz,Karen Khachanov,Hard,-15.742010799515583,-15.742010799515583,-14,-525,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,-1,0
2020-01-06,106421,104545,Daniil Medvedev,John Isner,Hard,49.87467350109955,49.87467350109955,14,3935,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1
2020-01-06,104545,106421,John Isner,Daniil Medvedev,Hard,-49.87467350109955,-49.87467350109955,-14,-3935,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-1,0
2020-01-06,111575,105882,Karen Khachanov,Stefano Travaglia,Hard,-0.18302567344403542,-0.18302567344403542,65,1203,-0.25,-0.25,-0.25,2,1
2020-01-06,105882,111575,Stefano Travaglia,Karen Khachanov,Hard,0.18302567344403542,0.18302567344403542,-65,-1203,0.25,0.25,0.25,-2,0
2020-01-06,106421,104926,Daniil Medvedev,Fabio Fognini,Hard,33.832931518924624,33.832931518924624,7,3415,0.25,0.25,0.25,2,1
2020-01-06,104926,106421,Fabio Fognini,Daniil Medvedev,Hard,-33.832931518924624,-33.832931518924624,-7,-3415,-0.25,-0.25,-0.25,-2,0
2020-01-06,106220,126612,Dimitar Kuzmanov,Alexander Cozbinov,Hard,0.0,0.0,399,62,0.0,0.0,0.0,0,1
2020-01-06,126612,106220,Alexander Cozbinov,Dimitar Kuzmanov,Hard,0.0,0.0,-399,-62,-0.0,-0.0,-0.0,0,0
2020-01-06,105777,105430,Grigor Dimitrov,Radu Albot,Hard,0.0,0.0,26,635,0.0,0.0,0.0,0,1
2020-01-06,105430,105777,Radu Albot,Grigor Dimitrov,Hard,0.0,0.0,-26,-635,-0.0,-0.0,-0.0,0,0
2020-01-06,111815,126612,Cameron Norrie,Alexander Cozbinov,Hard,0.0,0.0,764,957,0.0,0.0,0.0,0,1
2020-01-06,126612,111815,Alexander Cozbinov,Cameron Norrie,Hard,-0.0,-0.0,-764,-957,-0.0,-0.0,-0.0,0,0
2020-01-06,105554,105430,Daniel Evans,Radu Albot,Hard,32.0,32.0,4,57,1.0,1.0,1.0,0,1
2020-01-06,105430,105554,Radu Albot,Daniel Evans,Hard,-32.0,-32.0,-4,-57,-1.0,-1.0,-1.0,0,0
2020-01-06,111815,106220,Cameron Norrie,Dimitar Kuzmanov,Hard,-16.0,-16.0,365,895,-0.5,-0.5,-0.5,1,1
2020-01-06,106220,111815,Dimitar Kuzmanov,Cameron Norrie,Hard,16.0,16.0,-365,-895,0.5,0.5,0.5,-1,0
2020-01-06,105777,105554,Grigor Dimitrov,Daniel Evans,Hard,-14.53049847102443,-14.53049847102443,22,578,0.0,0.0,0.0,-1,1
2020-01-06,105554,105777,Daniel Evans,Grigor Dimitrov,Hard,14.53049847102443,14.53049847102443,-22,-578,-0.0,-0.0,-0.0,1,0
2020-01-06,104327,126612,Steve Darcis,Alexander Cozbinov,Hard,32.0,32.0,616,224,0.5,0.5,0.0,-2,1
2020-01-06,126612,104327,Alexander Cozbinov,Steve Darcis,Hard,-32.0,-32.0,-616,-224,-0.5,-0.5,-0.0,2,0
2020-01-06,105676,105430,David Goffin,Radu Albot,Hard,47.26680526454652,47.26680526454652,35,1268,1.0,1.0,1.0,-1,1
2020-01-06,105430,105676,Radu Albot,David Goffin,Hard,-47.26680526454652,-47.26680526454652,-35,-1268,-1.0,-1.0,-1.0,1,0
2020-01-06,104745,105932,Rafael Nadal,Nikoloz Basilashvili,Hard,14.56122603395329,14.56122603395329,25,8535,0.16666666666666663,0.16666666666666663,0.6666666666666666,3,1
2020-01-06,105932,104745,Nikoloz Basilashvili,Rafael Nadal,Hard,-14.56122603395329,-14.56122603395329,-25,-8535,-0.16666666666666663,-0.16666666666666663,-0.6666666666666666,-3,0
2020-01-06,105138,106223,Roberto Bautista Agut,Aleksandre Metreveli,Hard,46.53049847102443,46.53049847102443,668,2306,0.5,0.5,1.0,3,1
2020-01-06,106223,105138,Aleksandre Metreveli,Roberto Bautista Agut,Hard,-46.53049847102443,-46.53049847102443,-668,-2306,-0.5,-0.5,-1.0,-3,0
2020-01-06,104745,104655,Rafael Nadal,Pablo Cuevas,Hard,29.89104913577603,29.89104913577603,44,8888,0.25,0.25,0.75,4,1
2020-01-06,104655,104745,Pablo Cuevas,Rafael Nadal,Hard,-29.89104913577603,-29.89104913577603,-44,-8888,-0.25,-0.25,-0.75,-4,0
2020-01-06,105138,208364,Roberto Bautista Agut,Franco Roncadelli,Hard,60.40040975229749,60.40040975229749,1990,2335,0.5,0.5,1.0,4,1
2020-01-06,208364,105138,Franco Roncadelli,Roberto Bautista Agut,Hard,-60.40040975229749,-60.40040975229749,-1990,-2335,-0.5,-0.5,-1.0,-4,0
2020-01-06,106415,105932,Yoshihito Nishioka,Nikoloz Basilashvili,Hard,-0.6701768981772602,-0.6701768981772602,-46,-686,0.0,0.0,0.0,0,1
2020-01-06,105932,106415,Nikoloz Basilashvili,Yoshihito Nishioka,Hard,0.6701768981772602,0.6701768981772602,46,686,-0.0,-0.0,-0.0,0,0
2020-01-06,104424,106223,Go Soeda,Aleksandre Metreveli,Hard,-0.660587189751368,-0.660587189751368,559,432,0.0,0.0,0.0,0,1
2020-01-06,106223,104424,Aleksandre Metreveli,Go Soeda,Hard,0.660587189751368,0.660587189751368,-559,-432,-0.0,-0.0,-0.0,0,0
2020-01-06,144750,111797,Lloyd Harris,Nicolas Jarry,Hard,0.6353371007523947,0.6353371007523947,-22,-106,0.0,0.0,0.0,0,1
2020-01-06,111797,144750,Nicolas Jarry,Lloyd Harris,Hard,-0.6353371007523947,-0.6353371007523947,22,106,-0.0,-0.0,-0.0,0,0
2020-01-06,106415,104655,Yoshihito Nishioka,Pablo Cuevas,Hard,14.657715287450173,14.657715287450173,-27,-333,0.5,0.5,0.5,1,1
2020-01-06,104655,106415,Pablo Cuevas,Yoshihito Nishioka,Hard,-14.657715287450173,-14.657715287450173,27,333,-0.5,-0.5,-0.5,-1,0
2020-01-06,105932,104655,Nikoloz Basilashvili,Pablo Cuevas,Hard,-1.4084458561826523,-1.4084458561826523,19,353,0.0,0.0,0.0,0,1
2020-01-06,104655,105932,Pablo Cuevas,Nikoloz Basilashvili,Hard,1.4084458561826523,1.4084458561826523,-19,-353,-0.0,-0.0,-0.0,0,0
2020-01-06,106223,208364,Aleksandre Metreveli,Franco Roncadelli,Hard,-16.65418696788288,-16.65418696788288,1322,29,0.0,0.0,0.0,1,1
2020-01-06,208364,106223,Franco Roncadelli,Aleksandre Metreveli,Hard,16.65418696788288,16.65418696788288,-1322,-29,-0.0,-0.0,-0.0,-1,0
2020-01-06,105554,105676,Daniel Evans,David Goffin,Hard,-16.711186166129664,-16.711186166129664,-31,-1211,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1,1
